epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,455.423,1.11144,2.40807,0.01271,0.8487,0.79799,0.87323,0.62708,1.05556,0.84192,0.01601,0.000475371,0.000475371,0.000475371
2,670.082,1.29962,1.19511,0.01517,0.70595,0.8267,0.86007,0.61839,1.05709,0.8353,0.01637,0.000942283,0.000942283,0.000942283
3,876.692,1.30664,1.09785,0.01527,0.76801,0.76109,0.84299,0.5884,1.2355,0.89113,0.01822,0.00139976,0.00139976,0.00139976
4,1084.86,1.2861,1.01738,0.015,0.9205,0.86092,0.9407,0.68829,1.06685,0.52626,0.01538,0.00138656,0.00138656,0.00138656
5,1263.8,1.19039,0.87542,0.01383,0.91208,0.88439,0.94779,0.72673,0.96384,0.53878,0.01317,0.00137241,0.00137241,0.00137241
6,1441.62,1.16038,0.80973,0.01301,0.9502,0.85591,0.94272,0.70061,1.06778,0.49908,0.01755,0.00135826,0.00135826,0.00135826
7,1619.11,1.12093,0.76587,0.01279,0.9468,0.9337,0.96528,0.75509,0.92656,0.39022,0.01257,0.00134412,0.00134412,0.00134412
8,1797.79,1.05867,0.71984,0.01189,0.91617,0.85174,0.9375,0.7324,0.88865,0.54814,0.01306,0.00132997,0.00132997,0.00132997
9,1989.33,1.04684,0.6783,0.0119,0.92743,0.92157,0.97085,0.76561,0.85602,0.40321,0.01206,0.00131582,0.00131582,0.00131582
10,2169.03,1.03212,0.65404,0.01148,0.88035,0.90896,0.95456,0.76579,0.85386,0.47216,0.01214,0.00130168,0.00130168,0.00130168
11,2348.63,1.00336,0.64195,0.01113,0.91027,0.93444,0.9772,0.79337,0.7853,0.33177,0.01104,0.00128753,0.00128753,0.00128753
12,2532.05,0.98211,0.60554,0.01079,0.93965,0.92623,0.98185,0.78217,0.82967,0.38976,0.01101,0.00127338,0.00127338,0.00127338
13,2710.11,0.96996,0.59256,0.01075,0.93285,0.96611,0.98369,0.79911,0.83201,0.30744,0.01157,0.00125923,0.00125923,0.00125923
14,2888.5,0.93888,0.56506,0.0102,0.95942,0.90968,0.97397,0.79827,0.7831,0.36668,0.01108,0.00124509,0.00124509,0.00124509
15,3066.6,0.92739,0.5613,0.01007,0.96363,0.94711,0.98407,0.8108,0.7822,0.29436,0.01098,0.00123094,0.00123094,0.00123094
16,3245.12,0.91701,0.54211,0.01034,0.97479,0.91888,0.97182,0.80421,0.78012,0.32441,0.01171,0.00121679,0.00121679,0.00121679
17,3423.01,0.9122,0.52343,0.0101,0.95572,0.93795,0.97457,0.79751,0.79909,0.35848,0.01129,0.00120265,0.00120265,0.00120265
18,3601.74,0.89944,0.52116,0.00982,0.91694,0.96364,0.98658,0.82344,0.73303,0.28555,0.01046,0.0011885,0.0011885,0.0011885
19,3780.05,0.88507,0.49408,0.00966,0.97015,0.94387,0.98739,0.8324,0.70896,0.27928,0.00963,0.00117435,0.00117435,0.00117435
20,3958.51,0.87032,0.47103,0.00941,0.9416,0.95972,0.98892,0.82067,0.71893,0.27251,0.01003,0.00116021,0.00116021,0.00116021
21,4136.83,0.85723,0.48282,0.00935,0.9539,0.96477,0.98697,0.81841,0.78277,0.25507,0.01076,0.00114606,0.00114606,0.00114606
22,4314.73,0.8543,0.47655,0.00928,0.93876,0.96703,0.98827,0.83036,0.73332,0.25069,0.0102,0.00113191,0.00113191,0.00113191
23,4493.06,0.83927,0.46129,0.00921,0.95074,0.9672,0.98795,0.83965,0.67868,0.26598,0.00928,0.00111776,0.00111776,0.00111776
24,4671.16,0.82741,0.4478,0.00896,0.97273,0.97504,0.99307,0.8263,0.71313,0.23244,0.01009,0.00110362,0.00110362,0.00110362
25,4849.2,0.81299,0.44757,0.00856,0.93706,0.97697,0.98981,0.84908,0.65668,0.23658,0.0089,0.00108947,0.00108947,0.00108947
26,5027.53,0.81067,0.42116,0.00863,0.98184,0.93933,0.98914,0.84445,0.68051,0.24766,0.00929,0.00107532,0.00107532,0.00107532
27,5205.49,0.79299,0.42356,0.00846,0.98231,0.93646,0.99017,0.8374,0.68464,0.25513,0.00918,0.00106118,0.00106118,0.00106118
28,5383.64,0.78168,0.42078,0.00833,0.97482,0.94397,0.98894,0.83991,0.66143,0.30586,0.00896,0.00104703,0.00104703,0.00104703
29,5561.77,0.77123,0.39877,0.00811,0.96672,0.96579,0.99104,0.85197,0.66966,0.24508,0.00897,0.00103288,0.00103288,0.00103288
30,5740.24,0.76549,0.39798,0.00837,0.97681,0.94228,0.9912,0.84723,0.6602,0.25219,0.00886,0.00101873,0.00101873,0.00101873
31,5918.6,0.77181,0.40979,0.00823,0.9712,0.97503,0.99179,0.8549,0.6435,0.24699,0.00858,0.00100459,0.00100459,0.00100459
32,6096.75,0.75879,0.38617,0.00814,0.95216,0.97801,0.98935,0.85738,0.6286,0.22307,0.00798,0.00099044,0.00099044,0.00099044
33,6278.99,0.74843,0.38792,0.0079,0.97653,0.93826,0.98797,0.84487,0.64797,0.24551,0.0093,0.000976293,0.000976293,0.000976293
34,6457.48,0.73348,0.37708,0.00772,0.94419,0.97926,0.98655,0.84089,0.67067,0.25524,0.00894,0.000962146,0.000962146,0.000962146
35,6636,0.71936,0.3772,0.0076,0.97053,0.94549,0.98667,0.85074,0.65445,0.26722,0.00874,0.000947999,0.000947999,0.000947999
36,6814.93,0.71763,0.37402,0.00756,0.96109,0.95798,0.98699,0.84086,0.68951,0.25712,0.00901,0.000933851,0.000933851,0.000933851
37,6993.6,0.69791,0.34573,0.00727,0.96824,0.97751,0.98978,0.85647,0.6151,0.23217,0.00799,0.000919704,0.000919704,0.000919704
38,7172.08,0.6958,0.34503,0.00726,0.97886,0.952,0.98962,0.85328,0.64071,0.27376,0.00842,0.000905557,0.000905557,0.000905557
39,7350.58,0.6892,0.34758,0.00722,0.9847,0.95285,0.9917,0.84738,0.65228,0.22956,0.00865,0.00089141,0.00089141,0.00089141
40,7529.1,0.69544,0.36375,0.00735,0.9618,0.97441,0.99106,0.85676,0.64294,0.22613,0.00856,0.000877263,0.000877263,0.000877263
41,7707.86,0.67632,0.3386,0.00714,0.99009,0.97619,0.99142,0.86467,0.64422,0.19954,0.00843,0.000863116,0.000863116,0.000863116
42,7885.88,0.66861,0.34503,0.00687,0.96066,0.97437,0.99043,0.85835,0.65709,0.22557,0.00843,0.000848969,0.000848969,0.000848969
43,8064.11,0.66997,0.32769,0.00703,0.98584,0.96631,0.98653,0.85707,0.65411,0.21351,0.00887,0.000834822,0.000834822,0.000834822
44,8242.44,0.65596,0.32383,0.00681,0.96461,0.98424,0.9924,0.86817,0.62669,0.20279,0.00814,0.000820675,0.000820675,0.000820675
45,8420.6,0.66068,0.32913,0.00694,0.97223,0.95442,0.98914,0.86134,0.65311,0.22146,0.00875,0.000806528,0.000806528,0.000806528
46,8598.79,0.64361,0.31093,0.00676,0.9758,0.95959,0.99125,0.8584,0.6315,0.24992,0.00821,0.00079238,0.00079238,0.00079238
47,8776.94,0.63358,0.31157,0.00664,0.94948,0.98437,0.99327,0.86349,0.63621,0.21612,0.00844,0.000778233,0.000778233,0.000778233
48,8955.2,0.63675,0.30762,0.00664,0.96858,0.97437,0.99143,0.87097,0.64525,0.23289,0.00853,0.000764086,0.000764086,0.000764086
