epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
49,9132.94,0.62643,0.3043,0.00654,0.98352,0.9481,0.99074,0.86151,0.63613,0.2165,0.00814,0.000749939,0.000749939,0.000749939
50,9310.82,0.62312,0.29976,0.00638,0.9703,0.98214,0.9938,0.86933,0.62674,0.22231,0.00792,0.000735792,0.000735792,0.000735792
51,9492.4,0.6139,0.29452,0.00638,0.97753,0.99714,0.99495,0.86952,0.66297,0.20797,0.00861,0.000721645,0.000721645,0.000721645
52,9670.74,0.61305,0.30613,0.0063,0.97114,1,0.99438,0.86201,0.63319,0.18877,0.00819,0.000707498,0.000707498,0.000707498
53,9849.7,0.59578,0.28516,0.00616,0.96651,0.98549,0.99335,0.86674,0.61925,0.20752,0.00779,0.000693351,0.000693351,0.000693351
54,10028.4,0.59433,0.29125,0.00627,0.97353,0.99377,0.99401,0.8731,0.63601,0.1848,0.00812,0.000679204,0.000679204,0.000679204
55,10207.1,0.59154,0.28575,0.00612,0.95273,0.99383,0.99086,0.8647,0.63104,0.24795,0.00797,0.000665057,0.000665057,0.000665057
56,10385.9,0.57067,0.27455,0.0058,0.9697,0.98229,0.99325,0.87381,0.61882,0.20763,0.00764,0.000650909,0.000650909,0.000650909
57,10564.4,0.57818,0.27748,0.00592,0.97041,0.99353,0.99408,0.86937,0.62129,0.19585,0.00783,0.000636762,0.000636762,0.000636762
58,10743,0.57259,0.26701,0.00586,0.98737,0.97318,0.9944,0.86735,0.59906,0.1923,0.00768,0.000622615,0.000622615,0.000622615
59,10922.6,0.57455,0.26406,0.00589,0.96019,0.99227,0.99282,0.87023,0.61741,0.19406,0.00777,0.000608468,0.000608468,0.000608468
60,11101.4,0.56303,0.25777,0.00568,0.97734,0.97713,0.99355,0.86804,0.61794,0.21517,0.008,0.000594321,0.000594321,0.000594321
61,11280,0.55241,0.25621,0.00572,0.96753,0.97885,0.99088,0.86043,0.62934,0.22438,0.00796,0.000580174,0.000580174,0.000580174
62,11458.2,0.54796,0.25275,0.00561,0.98763,0.97602,0.99403,0.86273,0.61703,0.21494,0.00786,0.000566027,0.000566027,0.000566027
63,11636.3,0.54415,0.25348,0.00557,0.98587,0.9863,0.99181,0.87033,0.61187,0.21352,0.00774,0.00055188,0.00055188,0.00055188
64,11814.3,0.53646,0.24461,0.0054,0.98176,0.97681,0.99426,0.86864,0.62286,0.2322,0.00803,0.000537733,0.000537733,0.000537733
65,11992.1,0.53808,0.23935,0.00537,0.97191,0.98612,0.99428,0.87164,0.61818,0.19937,0.00793,0.000523586,0.000523586,0.000523586
66,12170,0.53648,0.24713,0.00544,0.96892,0.99234,0.99482,0.87005,0.60735,0.18597,0.00767,0.000509438,0.000509438,0.000509438
67,12348.8,0.5146,0.24075,0.00517,0.98414,0.97234,0.99414,0.87746,0.60019,0.18745,0.00751,0.000495291,0.000495291,0.000495291
68,12527,0.519,0.234,0.0053,0.96808,0.99804,0.99401,0.87464,0.60275,0.19008,0.00749,0.000481144,0.000481144,0.000481144
69,12706,0.5141,0.23232,0.00514,0.96691,1,0.99447,0.87738,0.62076,0.18846,0.00786,0.000466997,0.000466997,0.000466997
70,12884.7,0.50899,0.23252,0.00502,0.97035,1,0.99482,0.86781,0.62048,0.18272,0.00779,0.00045285,0.00045285,0.00045285
71,13062.8,0.50316,0.23287,0.00506,0.96209,0.97262,0.99031,0.86747,0.64032,0.26048,0.00851,0.000438703,0.000438703,0.000438703
72,13241.4,0.49742,0.22972,0.00488,0.96738,0.99383,0.99426,0.87535,0.61587,0.19222,0.00778,0.000424556,0.000424556,0.000424556
73,13419.6,0.4956,0.23232,0.00497,0.99356,0.96344,0.99389,0.87888,0.61412,0.19733,0.00767,0.000410409,0.000410409,0.000410409
74,13597.7,0.48081,0.22272,0.00483,0.96888,0.98607,0.99345,0.87907,0.61605,0.20651,0.00778,0.000396262,0.000396262,0.000396262
75,13775.7,0.48342,0.21665,0.00474,0.97261,0.99488,0.99414,0.87267,0.61784,0.19501,0.00778,0.000382115,0.000382115,0.000382115
76,13954.6,0.46892,0.21425,0.00467,0.97993,0.96753,0.99287,0.87549,0.61615,0.20199,0.00764,0.000367967,0.000367967,0.000367967
77,14133.4,0.46361,0.21421,0.00452,0.96193,0.97972,0.99198,0.87716,0.6081,0.21211,0.0076,0.00035382,0.00035382,0.00035382
78,14312,0.46292,0.20425,0.00461,0.98128,0.96835,0.99348,0.87014,0.61507,0.2124,0.00772,0.000339673,0.000339673,0.000339673
79,14490.6,0.46622,0.20696,0.00458,0.96509,0.97491,0.99189,0.87224,0.61601,0.21901,0.00767,0.000325526,0.000325526,0.000325526
80,14669.1,0.45713,0.20608,0.00448,0.96893,0.99157,0.99451,0.88141,0.61408,0.19942,0.0076,0.000311379,0.000311379,0.000311379
81,14847.5,0.45017,0.20016,0.00449,0.97227,1,0.99482,0.87726,0.61273,0.18748,0.00772,0.000297232,0.000297232,0.000297232
82,15026.1,0.44783,0.20183,0.0043,0.97386,1,0.99482,0.87363,0.61154,0.19597,0.00768,0.000283085,0.000283085,0.000283085
83,15204.5,0.43966,0.20091,0.00434,0.98153,0.97356,0.99365,0.87449,0.61863,0.19923,0.00774,0.000268938,0.000268938,0.000268938
84,15383.1,0.44165,0.19115,0.00427,0.96956,0.99096,0.99371,0.87232,0.62602,0.2171,0.00791,0.000254791,0.000254791,0.000254791
85,15561.4,0.43004,0.19462,0.00418,0.96687,0.98561,0.99372,0.87936,0.60705,0.20237,0.00755,0.000240644,0.000240644,0.000240644
86,15739.7,0.42889,0.1936,0.00422,0.96867,0.9887,0.99386,0.87456,0.60452,0.20582,0.00747,0.000226497,0.000226497,0.000226497
87,15918.9,0.4256,0.19162,0.00409,0.9679,0.99806,0.99358,0.87626,0.61663,0.21205,0.00769,0.000212349,0.000212349,0.000212349
88,16096.9,0.42154,0.19582,0.00415,0.97484,0.99544,0.99469,0.87721,0.61947,0.19583,0.00777,0.000198202,0.000198202,0.000198202
89,16275.7,0.41908,0.18617,0.00407,0.98041,0.99733,0.99469,0.87375,0.6289,0.19641,0.00792,0.000184055,0.000184055,0.000184055
90,16454.6,0.40814,0.18416,0.00399,0.96853,0.99604,0.99438,0.87138,0.62053,0.20714,0.00778,0.000169908,0.000169908,0.000169908
91,16687.2,0.30589,0.1089,0.0037,0.97038,0.99077,0.99427,0.87857,0.61519,0.19556,0.00785,0.000155761,0.000155761,0.000155761
92,16865.5,0.30047,0.10686,0.00363,0.96875,0.9913,0.98934,0.87101,0.62637,0.21426,0.00786,0.000141614,0.000141614,0.000141614
93,17042.8,0.29267,0.10317,0.00349,0.97168,0.99677,0.99399,0.87401,0.63042,0.21348,0.00792,0.000127467,0.000127467,0.000127467
94,17220.2,0.28896,0.1036,0.0035,0.97696,0.99481,0.99439,0.87908,0.62697,0.1961,0.00788,0.00011332,0.00011332,0.00011332
95,17397.4,0.28585,0.10031,0.0034,0.97328,0.99326,0.99364,0.8795,0.63197,0.20224,0.00793,9.91726e-05,9.91726e-05,9.91726e-05
96,17574.8,0.2855,0.0994,0.0034,0.97826,0.99911,0.99444,0.87715,0.62529,0.19503,0.00777,8.50255e-05,8.50255e-05,8.50255e-05
97,17752.8,0.28128,0.10208,0.00336,0.96965,0.99602,0.99376,0.87556,0.62298,0.19752,0.00772,7.08784e-05,7.08784e-05,7.08784e-05
98,17930.3,0.27385,0.09842,0.00324,0.97743,0.99827,0.99406,0.87283,0.62149,0.21384,0.00767,5.67313e-05,5.67313e-05,5.67313e-05
99,18107.5,0.275,0.0984,0.00321,0.96901,0.99889,0.99308,0.87195,0.61722,0.23902,0.00765,4.25842e-05,4.25842e-05,4.25842e-05
100,18284.4,0.26904,0.09404,0.00318,0.97133,0.99849,0.994,0.87404,0.6181,0.21281,0.00766,2.84371e-05,2.84371e-05,2.84371e-05
