epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3947.64,1.54647,0.71191,0.00314,0.86668,0.78961,0.86517,0.53204,1.50491,0.68523,0.00388,0.000666016,0.000666016,0.000666016
2,9320.45,1.56656,0.71719,0.00324,0.87897,0.80102,0.88291,0.55535,1.46318,0.65841,0.0037,0.00116776,0.00116776,0.00116776
3,14761.4,1.55396,0.69095,0.00316,0.88304,0.81129,0.88889,0.56177,1.4535,0.63295,0.00365,0.00150451,0.00150451,0.00150451
4,21118.4,1.53443,0.66129,0.00312,0.89206,0.8321,0.90202,0.57516,1.43138,0.5961,0.00359,0.0012575,0.0012575,0.0012575
5,29013,1.50668,0.63628,0.00302,0.89494,0.83532,0.90427,0.58034,1.41303,0.60153,0.00353,0.00101,0.00101,0.00101
6,34853.4,1.48335,0.61612,0.00297,0.90257,0.84855,0.91605,0.59148,1.39853,0.55425,0.00348,0.0007625,0.0007625,0.0007625
7,39514.4,1.45696,0.5897,0.00287,0.91114,0.84992,0.92076,0.60176,1.37514,0.53739,0.00339,0.000515,0.000515,0.000515
8,45612.9,1.44031,0.5796,0.00282,0.90975,0.85513,0.922,0.60449,1.36813,0.53549,0.00338,0.0002675,0.0002675,0.0002675
